Year,Month,Date,Value,3-Month % Change
2016,M01,2016-01-01,99.0, N/A
2016,M02,2016-02-01,98.7,
2016,M03,2016-03-01,96.8,
2016,M04,2016-04-01,95.0,-4.0
2016,M05,2016-05-01,93.7,-5.1
2016,M06,2016-06-01,95.3,-1.5
2016,M07,2016-07-01,95.7,0.7
2016,M08,2016-08-01,95.1,1.5
2016,M09,2016-09-01,95.3,0.0
2016,M10,2016-10-01,95.4,-0.3
2016,M11,2016-11-01,94.8,-0.3
2016,M12,2016-12-01,95.5,0.2
2017,M01,2017-01-01,97.1,1.8
2017,M02,2017-02-01,95.6,0.8
2017,M03,2017-03-01,96.3,0.8
2017,M04,2017-04-01,96.6,-0.5
2017,M05,2017-05-01,95.3,-0.3
2017,M06,2017-06-01,94.5,-1.9
2017,M07,2017-07-01,92.8,-3.9
2017,M08,2017-08-01,93.9,-1.5
2017,M09,2017-09-01,93.5,-1.1
2017,M10,2017-10-01,92.1,-0.8
2017,M11,2017-11-01,92.4,-1.6
2017,M12,2017-12-01,92.4,-1.2
2018,M01,2018-01-01,94.5,2.6
2018,M02,2018-02-01,94.3,2.1
2018,M03,2018-03-01,96.8,4.8
2018,M04,2018-04-01,96.5,2.1
2018,M05,2018-05-01,96.1,1.9
2018,M06,2018-06-01,95.9,-0.9
2018,M07,2018-07-01,93.7,-2.9
2018,M08,2018-08-01,93.5,-2.7
2018,M09,2018-09-01,94.0,-2.0
2018,M10,2018-10-01,92.5,-1.3
2018,M11,2018-11-01,92.6,-1.0
2018,M12,2018-12-01,95.1,1.2
2019,M01,2019-01-01,94.5,2.2
2019,M02,2019-02-01,95.6,3.2
2019,M03,2019-03-01,96.2,1.2
2019,M04,2019-04-01,96.7,2.3
2019,M05,2019-05-01,95.2,-0.4
2019,M06,2019-06-01,95.6,-0.6
2019,M07,2019-07-01,95.6,-1.1
2019,M08,2019-08-01,95.7,0.5
2019,M09,2019-09-01,95.1,-0.5
2019,M10,2019-10-01,95.1,-0.5
2019,M11,2019-11-01,94.2,-1.6
2019,M12,2019-12-01,95.1,0.0
2020,M01,2020-01-01,96.4,1.4
2020,M02,2020-02-01,96.6,2.5
2020,M03,2020-03-01,97.0,2.0
2020,M04,2020-04-01,90.1,-6.5
2020,M05,2020-05-01,95.0,-1.7
2020,M06,2020-06-01,104.6,7.8
2020,M07,2020-07-01,111.7,24.0
2020,M08,2020-08-01,111.3,17.2
2020,M09,2020-09-01,111.1,6.2
2020,M10,2020-10-01,116.9,4.7
2020,M11,2020-11-01,117.8,5.8
2020,M12,2020-12-01,113.8,2.4
2021,M01,2021-01-01,114.7,-1.9
2021,M02,2021-02-01,118.4,0.5
2021,M03,2021-03-01,119.3,4.8
2021,M04,2021-04-01,132.1,15.2
2021,M05,2021-05-01,150.6,27.2
2021,M06,2021-06-01,161.8,35.6
2021,M07,2021-07-01,166.031,25.7
2021,M08,2021-08-01,171.321,13.8
2021,M09,2021-09-01,178.484,10.3
2021,M10,2021-10-01,188.551,13.6
2021,M11,2021-11-01,193.719,13.1
2021,M12,2021-12-01,199.233,11.6
2022,M01,2022-01-01,202.116,7.2
2022,M02,2022-02-01,203.911,5.3
2022,M03,2022-03-01,200.809,0.8
2022,M04,2022-04-01,200.832,-0.6
2022,M05,2022-05-01,208.884,2.4
2022,M06,2022-06-01,213.402,6.3
2022,M07,2022-07-01,211.493,5.3
2022,M08,2022-08-01,208.927,0.0
2022,M09,2022-09-01,206.163,-3.4
2022,M10,2022-10-01,201.083,-4.9
2022,M11,2022-11-01,199.609,-4.5
2022,M12,2022-12-01,193.286,-6.2
2023,M01,2023-01-01,183.802,-8.6
2023,M02,2023-02-01,183.862,-7.9
2023,M03,2023-03-01,181.583,-6.1
2023,M04,2023-04-01,182.457,-0.7
